Name,Score,Genders,Type,Source,Popularity,Favorites
Kappa no Kaikata,6.3,Comedy,TV,Manga,9130,6
Himesama Goyoujin,6.34,Comedy,TV,Original,8611,2
Master of Epic: The Animation Age,6.07,"Fantasy, Game, Comedy",TV,Game,9320,3
Fushigiboshi no☆Futagohime Gyu!,7.08,"Magic, Comedy, Shoujo",TV,Original,6819,38
Lucky☆Star,7.77,"Slice of Life, Comedy, Parody, School",TV,4-koma manga,218,14038
Ichigo Mashimaro OVA,7.72,"Comedy, School, Slice of Life",OVA,4-koma manga,3600,26
Higurashi no Naku Koro ni Kai,8.23,"Mystery, Psychological, Supernatural, Thriller",TV,Visual novel,344,6668
Clover,6.82,"Drama, Fantasy, Music, Sci-Fi, Shoujo",Music,Manga,4640,15
YAT Anshin! Uchuu Ryokou,6.98,"Adventure, Comedy, Sci-Fi, Shounen",TV,Original,9380,8
YAT Anshin! Uchuu Ryokou 2,6.81,"Adventure, Comedy, Sci-Fi, Shounen",TV,Original,10910,2
Azuki-chan,6.73,"Comedy, Romance, Shoujo, Slice of Life",TV,Manga,8475,7
Yu☆Gi☆Oh!: Hikari no Pyramid,6.59,"Adventure, Comedy, Fantasy, Game",Movie,Manga,1973,67
Ai wa Kagi no Kazu dake... Fuuzoku Mansion,6.24,Hentai,OVA,Original,7331,23
Akibakei Kanojo,6.73,Hentai,OVA,Visual novel,4296,140
Zettai Muteki Raijin-Oh,6.76,"Adventure, Mecha, School, Sci-Fi",TV,Original,9871,8
Hikari to Mizu no Daphne Specials,6.71,"Action, Ecchi, Comedy",Special,Original,7927,0
Masou Kishin Cybuster,6.1,"Adventure, Mecha, Sci-Fi, Shounen",TV,Unknown,8232,1
Twin Signal: Family Game,6.35,"Action, Comedy, Mecha, Sci-Fi",OVA,Unknown,9613,3
11-nin Iru!,7.09,"Action, Sci-Fi, Adventure, Mystery, Space, Drama, Romance, Shoujo",Movie,Manga,5227,36
Happiness!: Watarase Jun no Kareinaru Ichinichi,6.74,"Comedy, Fantasy",OVA,Visual novel,6032,8
Stratos 4: Logbook,6.35,"Action, Ecchi, Sci-Fi",Special,Original,9627,1
Harukanaru Toki no Naka de 2: Shiroki Ryuu no Miko,6.54,"Fantasy, Magic, Romance, Supernatural, Demons, Historical, Shoujo",OVA,Visual novel,7905,8
Harukanaru Toki no Naka de: Hachiyou Shou Specials,6.4,"Fantasy, Magic, Romance, Supernatural, Historical, Shoujo",Special,Visual novel,8296,6
Harukanaru Toki no Naka de: Maihitoyo,7.22,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",Movie,Visual novel,6351,20
Harukanaru Toki no Naka de: Hachiyou Shou OVA,6.51,"Fantasy, Comedy, Supernatural, Demons, Historical, Shoujo",OVA,Visual novel,9017,3
Lesson XX,6.02,"Romance, Shounen Ai",OVA,Novel,5536,13
Kusatta Kyoushi no Houteishiki,6.11,"Comedy, Romance, Shounen Ai",OVA,Manga,6972,12
Master Keaton OVA,7.76,"Adventure, Drama, Historical, Mystery, Seinen, Slice of Life",OVA,Manga,5603,14
